x,y,z
9.729,-88.2,
11.987,-88.2,
14.245,-88.2,0.0
16.503,-88.2,
18.761,-88.2,
21.019,-88.2,
23.277,-88.2,
25.535,-88.2,0.0
27.793,-88.2,
30.051,-88.2,
32.309,-88.2,
34.567,-88.2,
36.825,-88.2,
39.083,-88.2,0.0
41.341,-88.2,0.0
43.599000000000004,-88.2,0.0
45.857,-88.2,0.0
48.115,-88.2,0.25
50.373000000000005,-88.2,0.3333333333333333
52.631,-88.2,0.0
54.888999999999996,-88.2,0.0
57.147000000000006,-88.2,0.4
59.405,-88.2,0.0
61.663,-88.2,0.0
63.921,-88.2,
66.179,-88.2,
68.437,-88.2,
70.695,-88.2,
72.953,-88.2,
75.21099999999998,-88.2,
77.469,-88.2,
79.727,-88.2,
81.98499999999999,-88.2,
84.243,-88.2,
86.501,-88.2,
88.75899999999999,-88.2,
91.017,-88.2,
93.275,-88.2,
95.53299999999999,-88.2,
97.791,-88.2,
100.04899999999999,-88.2,
102.30699999999999,-88.2,
104.565,-88.2,
106.823,-88.2,
109.08099999999999,-88.2,
111.339,-88.2,
113.597,-88.2,
115.85499999999999,-88.2,
118.113,-88.2,
120.371,-88.2,
9.729,-84.6,
11.987,-84.6,
14.245,-84.6,0.0
16.503,-84.6,
18.761,-84.6,
21.019,-84.6,
23.277,-84.6,0.0
25.535,-84.6,
27.793,-84.6,0.0
30.051,-84.6,0.0
32.309,-84.6,0.0
34.567,-84.6,0.0
36.825,-84.6,0.0
39.083,-84.6,0.2
41.341,-84.6,0.2
43.599000000000004,-84.6,0.125
45.857,-84.6,0.0
48.115,-84.6,0.125
50.373000000000005,-84.6,0.1
52.631,-84.6,0.0
54.888999999999996,-84.6,0.07692307692307693
57.147000000000006,-84.6,0.0
59.405,-84.6,0.08333333333333333
61.663,-84.6,0.16666666666666666
63.921,-84.6,0.0
66.179,-84.6,0.2857142857142857
68.437,-84.6,0.0
70.695,-84.6,0.0
72.953,-84.6,
75.21099999999998,-84.6,
77.469,-84.6,
79.727,-84.6,
81.98499999999999,-84.6,
84.243,-84.6,
86.501,-84.6,
88.75899999999999,-84.6,
91.017,-84.6,
93.275,-84.6,
95.53299999999999,-84.6,
97.791,-84.6,
100.04899999999999,-84.6,
102.30699999999999,-84.6,
104.565,-84.6,
106.823,-84.6,
109.08099999999999,-84.6,
111.339,-84.6,
113.597,-84.6,
115.85499999999999,-84.6,
118.113,-84.6,
120.371,-84.6,
9.729,-81.0,
11.987,-81.0,
14.245,-81.0,
16.503,-81.0,
18.761,-81.0,
21.019,-81.0,
23.277,-81.0,0.0
25.535,-81.0,
27.793,-81.0,0.0
30.051,-81.0,0.0
32.309,-81.0,0.0
34.567,-81.0,0.3333333333333333
36.825,-81.0,0.16666666666666666
39.083,-81.0,0.25
41.341,-81.0,0.0
43.599000000000004,-81.0,0.0
45.857,-81.0,0.18181818181818182
48.115,-81.0,0.125
50.373000000000005,-81.0,0.14285714285714285
52.631,-81.0,0.26666666666666666
54.888999999999996,-81.0,0.1
57.147000000000006,-81.0,0.18181818181818182
59.405,-81.0,0.0
61.663,-81.0,0.2
63.921,-81.0,0.0
66.179,-81.0,0.3333333333333333
68.437,-81.0,0.0
70.695,-81.0,0.4
72.953,-81.0,0.5
75.21099999999998,-81.0,
77.469,-81.0,
79.727,-81.0,
81.98499999999999,-81.0,
84.243,-81.0,
86.501,-81.0,
88.75899999999999,-81.0,
91.017,-81.0,
93.275,-81.0,
95.53299999999999,-81.0,
97.791,-81.0,
100.04899999999999,-81.0,
102.30699999999999,-81.0,
104.565,-81.0,
106.823,-81.0,
109.08099999999999,-81.0,
111.339,-81.0,
113.597,-81.0,
115.85499999999999,-81.0,
118.113,-81.0,
120.371,-81.0,
9.729,-77.4,
11.987,-77.4,0.0
14.245,-77.4,
16.503,-77.4,0.0
18.761,-77.4,
21.019,-77.4,
23.277,-77.4,0.0
25.535,-77.4,0.0
27.793,-77.4,0.0
30.051,-77.4,0.0
32.309,-77.4,0.0
34.567,-77.4,0.25
36.825,-77.4,0.625
39.083,-77.4,0.09090909090909091
41.341,-77.4,0.2
43.599000000000004,-77.4,0.23529411764705882
45.857,-77.4,0.19047619047619047
48.115,-77.4,0.0
50.373000000000005,-77.4,0.2777777777777778
52.631,-77.4,0.18181818181818182
54.888999999999996,-77.4,0.2222222222222222
57.147000000000006,-77.4,0.13636363636363635
59.405,-77.4,0.21052631578947367
61.663,-77.4,0.23076923076923078
63.921,-77.4,0.16666666666666666
66.179,-77.4,0.25
68.437,-77.4,0.3333333333333333
70.695,-77.4,0.7
72.953,-77.4,0.5
75.21099999999998,-77.4,1.0
77.469,-77.4,
79.727,-77.4,
81.98499999999999,-77.4,
84.243,-77.4,
86.501,-77.4,
88.75899999999999,-77.4,
91.017,-77.4,
93.275,-77.4,
95.53299999999999,-77.4,
97.791,-77.4,
100.04899999999999,-77.4,
102.30699999999999,-77.4,
104.565,-77.4,
106.823,-77.4,
109.08099999999999,-77.4,
111.339,-77.4,
113.597,-77.4,
115.85499999999999,-77.4,
118.113,-77.4,
120.371,-77.4,
9.729,-73.8,
11.987,-73.8,
14.245,-73.8,0.0
16.503,-73.8,
18.761,-73.8,
21.019,-73.8,
23.277,-73.8,0.0
25.535,-73.8,0.0
27.793,-73.8,1.0
30.051,-73.8,0.0
32.309,-73.8,0.14285714285714285
34.567,-73.8,0.6
36.825,-73.8,0.5
39.083,-73.8,0.3333333333333333
41.341,-73.8,0.23076923076923078
43.599000000000004,-73.8,0.125
45.857,-73.8,0.09090909090909091
48.115,-73.8,0.17391304347826086
50.373000000000005,-73.8,0.15789473684210525
52.631,-73.8,0.21739130434782608
54.888999999999996,-73.8,0.16666666666666666
57.147000000000006,-73.8,0.2631578947368421
59.405,-73.8,0.2777777777777778
61.663,-73.8,0.23529411764705882
63.921,-73.8,0.09090909090909091
66.179,-73.8,0.16666666666666666
68.437,-73.8,0.3333333333333333
70.695,-73.8,0.3333333333333333
72.953,-73.8,0.1111111111111111
75.21099999999998,-73.8,0.0
77.469,-73.8,0.5
79.727,-73.8,0.0
81.98499999999999,-73.8,
84.243,-73.8,
86.501,-73.8,
88.75899999999999,-73.8,
91.017,-73.8,
93.275,-73.8,
95.53299999999999,-73.8,
97.791,-73.8,
100.04899999999999,-73.8,
102.30699999999999,-73.8,
104.565,-73.8,
106.823,-73.8,
109.08099999999999,-73.8,
111.339,-73.8,
113.597,-73.8,
115.85499999999999,-73.8,
118.113,-73.8,
120.371,-73.8,
9.729,-70.2,
11.987,-70.2,
14.245,-70.2,
16.503,-70.2,
18.761,-70.2,
21.019,-70.2,0.0
23.277,-70.2,0.0
25.535,-70.2,
27.793,-70.2,0.25
30.051,-70.2,0.42857142857142855
32.309,-70.2,0.3333333333333333
34.567,-70.2,0.3333333333333333
36.825,-70.2,0.1
39.083,-70.2,0.1875
41.341,-70.2,0.14285714285714285
43.599000000000004,-70.2,0.3
45.857,-70.2,0.35714285714285715
48.115,-70.2,0.24
50.373000000000005,-70.2,0.25
52.631,-70.2,0.16666666666666666
54.888999999999996,-70.2,0.2558139534883721
57.147000000000006,-70.2,0.14583333333333334
59.405,-70.2,0.12121212121212122
61.663,-70.2,0.09090909090909091
63.921,-70.2,0.05555555555555555
66.179,-70.2,0.3076923076923077
68.437,-70.2,0.2
70.695,-70.2,0.15384615384615385
72.953,-70.2,0.16666666666666666
75.21099999999998,-70.2,0.4
77.469,-70.2,0.25
79.727,-70.2,0.16666666666666666
81.98499999999999,-70.2,0.4
84.243,-70.2,0.0
86.501,-70.2,
88.75899999999999,-70.2,
91.017,-70.2,
93.275,-70.2,
95.53299999999999,-70.2,
97.791,-70.2,
100.04899999999999,-70.2,
102.30699999999999,-70.2,
104.565,-70.2,
106.823,-70.2,
109.08099999999999,-70.2,
111.339,-70.2,
113.597,-70.2,
115.85499999999999,-70.2,
118.113,-70.2,
120.371,-70.2,
9.729,-66.6,
11.987,-66.6,0.0
14.245,-66.6,
16.503,-66.6,
18.761,-66.6,
21.019,-66.6,0.0
23.277,-66.6,0.5
25.535,-66.6,0.0
27.793,-66.6,0.5
30.051,-66.6,0.3333333333333333
32.309,-66.6,0.25
34.567,-66.6,0.625
36.825,-66.6,0.38461538461538464
39.083,-66.6,0.15384615384615385
41.341,-66.6,0.125
43.599000000000004,-66.6,0.2727272727272727
45.857,-66.6,0.3793103448275862
48.115,-66.6,0.25806451612903225
50.373000000000005,-66.6,0.1875
52.631,-66.6,0.23529411764705882
54.888999999999996,-66.6,0.17647058823529413
57.147000000000006,-66.6,0.18604651162790697
59.405,-66.6,0.30612244897959184
61.663,-66.6,0.17647058823529413
63.921,-66.6,0.28125
66.179,-66.6,0.17647058823529413
68.437,-66.6,0.2222222222222222
70.695,-66.6,0.3157894736842105
72.953,-66.6,0.13333333333333333
75.21099999999998,-66.6,0.4444444444444444
77.469,-66.6,0.4
79.727,-66.6,0.26666666666666666
81.98499999999999,-66.6,0.3333333333333333
84.243,-66.6,0.42857142857142855
86.501,-66.6,0.2
88.75899999999999,-66.6,0.0
91.017,-66.6,
93.275,-66.6,
95.53299999999999,-66.6,
97.791,-66.6,
100.04899999999999,-66.6,
102.30699999999999,-66.6,
104.565,-66.6,
106.823,-66.6,
109.08099999999999,-66.6,
111.339,-66.6,
113.597,-66.6,
115.85499999999999,-66.6,
118.113,-66.6,
120.371,-66.6,
9.729,-63.0,
11.987,-63.0,0.0
14.245,-63.0,
16.503,-63.0,
18.761,-63.0,
21.019,-63.0,0.0
23.277,-63.0,0.5
25.535,-63.0,
27.793,-63.0,0.0
30.051,-63.0,0.16666666666666666
32.309,-63.0,0.0
34.567,-63.0,0.2857142857142857
36.825,-63.0,0.25
39.083,-63.0,0.16666666666666666
41.341,-63.0,0.2727272727272727
43.599000000000004,-63.0,0.3333333333333333
45.857,-63.0,0.15789473684210525
48.115,-63.0,0.24
50.373000000000005,-63.0,0.1935483870967742
52.631,-63.0,0.21428571428571427
54.888999999999996,-63.0,0.18181818181818182
57.147000000000006,-63.0,0.2916666666666667
59.405,-63.0,0.3
61.663,-63.0,0.2727272727272727
63.921,-63.0,0.21428571428571427
66.179,-63.0,0.125
68.437,-63.0,0.3181818181818182
70.695,-63.0,0.34615384615384615
72.953,-63.0,0.2777777777777778
75.21099999999998,-63.0,0.38095238095238093
77.469,-63.0,0.36363636363636365
79.727,-63.0,0.4166666666666667
81.98499999999999,-63.0,0.4
84.243,-63.0,0.3333333333333333
86.501,-63.0,0.3333333333333333
88.75899999999999,-63.0,0.42857142857142855
91.017,-63.0,
93.275,-63.0,
95.53299999999999,-63.0,
97.791,-63.0,
100.04899999999999,-63.0,
102.30699999999999,-63.0,
104.565,-63.0,
106.823,-63.0,
109.08099999999999,-63.0,
111.339,-63.0,
113.597,-63.0,
115.85499999999999,-63.0,
118.113,-63.0,
120.371,-63.0,
9.729,-59.400000000000006,0.0
11.987,-59.400000000000006,
14.245,-59.400000000000006,
16.503,-59.400000000000006,0.0
18.761,-59.400000000000006,
21.019,-59.400000000000006,
23.277,-59.400000000000006,0.5
25.535,-59.400000000000006,0.5
27.793,-59.400000000000006,0.14285714285714285
30.051,-59.400000000000006,0.2
32.309,-59.400000000000006,0.14285714285714285
34.567,-59.400000000000006,0.4166666666666667
36.825,-59.400000000000006,0.2857142857142857
39.083,-59.400000000000006,0.25
41.341,-59.400000000000006,0.2777777777777778
43.599000000000004,-59.400000000000006,0.3684210526315789
45.857,-59.400000000000006,0.35294117647058826
48.115,-59.400000000000006,0.30434782608695654
50.373000000000005,-59.400000000000006,0.14705882352941177
52.631,-59.400000000000006,0.21428571428571427
54.888999999999996,-59.400000000000006,0.2702702702702703
57.147000000000006,-59.400000000000006,0.1590909090909091
59.405,-59.400000000000006,0.1956521739130435
61.663,-59.400000000000006,0.1836734693877551
63.921,-59.400000000000006,0.25
66.179,-59.400000000000006,0.16279069767441862
68.437,-59.400000000000006,0.34615384615384615
70.695,-59.400000000000006,0.21621621621621623
72.953,-59.400000000000006,0.45454545454545453
75.21099999999998,-59.400000000000006,0.1875
77.469,-59.400000000000006,0.4
79.727,-59.400000000000006,0.05
81.98499999999999,-59.400000000000006,0.3333333333333333
84.243,-59.400000000000006,0.35
86.501,-59.400000000000006,0.1111111111111111
88.75899999999999,-59.400000000000006,0.1111111111111111
91.017,-59.400000000000006,0.4
93.275,-59.400000000000006,0.5
95.53299999999999,-59.400000000000006,
97.791,-59.400000000000006,
100.04899999999999,-59.400000000000006,
102.30699999999999,-59.400000000000006,
104.565,-59.400000000000006,
106.823,-59.400000000000006,
109.08099999999999,-59.400000000000006,
111.339,-59.400000000000006,
113.597,-59.400000000000006,
115.85499999999999,-59.400000000000006,
118.113,-59.400000000000006,
120.371,-59.400000000000006,
9.729,-55.8,
11.987,-55.8,
14.245,-55.8,
16.503,-55.8,
18.761,-55.8,0.0
21.019,-55.8,1.0
23.277,-55.8,0.0
25.535,-55.8,0.4
27.793,-55.8,0.0
30.051,-55.8,0.16666666666666666
32.309,-55.8,0.0
34.567,-55.8,0.2857142857142857
36.825,-55.8,0.3
39.083,-55.8,0.15384615384615385
41.341,-55.8,0.3076923076923077
43.599000000000004,-55.8,0.21428571428571427
45.857,-55.8,0.1875
48.115,-55.8,0.35714285714285715
50.373000000000005,-55.8,0.2962962962962963
52.631,-55.8,0.28125
54.888999999999996,-55.8,0.1951219512195122
57.147000000000006,-55.8,0.225
59.405,-55.8,0.23076923076923078
61.663,-55.8,0.5
63.921,-55.8,0.15789473684210525
66.179,-55.8,0.27450980392156865
68.437,-55.8,0.3611111111111111
70.695,-55.8,0.32432432432432434
72.953,-55.8,0.27586206896551724
75.21099999999998,-55.8,0.41935483870967744
77.469,-55.8,0.27586206896551724
79.727,-55.8,0.3125
81.98499999999999,-55.8,0.25
84.243,-55.8,0.2
86.501,-55.8,0.375
88.75899999999999,-55.8,0.2857142857142857
91.017,-55.8,0.25
93.275,-55.8,1.0
95.53299999999999,-55.8,0.6
97.791,-55.8,
100.04899999999999,-55.8,
102.30699999999999,-55.8,
104.565,-55.8,
106.823,-55.8,
109.08099999999999,-55.8,
111.339,-55.8,
113.597,-55.8,
115.85499999999999,-55.8,
118.113,-55.8,
120.371,-55.8,
9.729,-52.2,
11.987,-52.2,
14.245,-52.2,0.0
16.503,-52.2,0.5
18.761,-52.2,0.0
21.019,-52.2,0.0
23.277,-52.2,1.0
25.535,-52.2,0.0
27.793,-52.2,
30.051,-52.2,0.3333333333333333
32.309,-52.2,0.3
34.567,-52.2,0.13333333333333333
36.825,-52.2,0.4
39.083,-52.2,0.36363636363636365
41.341,-52.2,0.42857142857142855
43.599000000000004,-52.2,0.5
45.857,-52.2,0.3
48.115,-52.2,0.14285714285714285
50.373000000000005,-52.2,0.35714285714285715
52.631,-52.2,0.2222222222222222
54.888999999999996,-52.2,0.20833333333333334
57.147000000000006,-52.2,0.2698412698412698
59.405,-52.2,0.23943661971830985
61.663,-52.2,0.2727272727272727
63.921,-52.2,0.3283582089552239
66.179,-52.2,0.23880597014925373
68.437,-52.2,0.23728813559322035
70.695,-52.2,0.19718309859154928
72.953,-52.2,0.3235294117647059
75.21099999999998,-52.2,0.23214285714285715
77.469,-52.2,0.3684210526315789
79.727,-52.2,0.22
81.98499999999999,-52.2,0.25
84.243,-52.2,0.25
86.501,-52.2,0.2692307692307692
88.75899999999999,-52.2,0.16
91.017,-52.2,0.14285714285714285
93.275,-52.2,0.3333333333333333
95.53299999999999,-52.2,0.375
97.791,-52.2,0.3333333333333333
100.04899999999999,-52.2,
102.30699999999999,-52.2,
104.565,-52.2,
106.823,-52.2,
109.08099999999999,-52.2,
111.339,-52.2,
113.597,-52.2,
115.85499999999999,-52.2,
118.113,-52.2,
120.371,-52.2,
9.729,-48.599999999999994,
11.987,-48.599999999999994,
14.245,-48.599999999999994,
16.503,-48.599999999999994,
18.761,-48.599999999999994,0.0
21.019,-48.599999999999994,1.0
23.277,-48.599999999999994,0.0
25.535,-48.599999999999994,0.14285714285714285
27.793,-48.599999999999994,0.3333333333333333
30.051,-48.599999999999994,0.0
32.309,-48.599999999999994,0.5833333333333334
34.567,-48.599999999999994,0.3
36.825,-48.599999999999994,0.3888888888888889
39.083,-48.599999999999994,0.23076923076923078
41.341,-48.599999999999994,0.29411764705882354
43.599000000000004,-48.599999999999994,0.375
45.857,-48.599999999999994,0.25
48.115,-48.599999999999994,0.08695652173913043
50.373000000000005,-48.599999999999994,0.1935483870967742
52.631,-48.599999999999994,0.2
54.888999999999996,-48.599999999999994,0.2826086956521739
57.147000000000006,-48.599999999999994,0.38636363636363635
59.405,-48.599999999999994,0.23170731707317074
61.663,-48.599999999999994,0.24
63.921,-48.599999999999994,0.2926829268292683
66.179,-48.599999999999994,0.3088235294117647
68.437,-48.599999999999994,0.3333333333333333
70.695,-48.599999999999994,0.2
72.953,-48.599999999999994,0.25757575757575757
75.21099999999998,-48.599999999999994,0.10909090909090909
77.469,-48.599999999999994,0.13333333333333333
79.727,-48.599999999999994,0.12857142857142856
81.98499999999999,-48.599999999999994,0.19607843137254902
84.243,-48.599999999999994,0.13725490196078433
86.501,-48.599999999999994,0.15151515151515152
88.75899999999999,-48.599999999999994,0.25
91.017,-48.599999999999994,0.047619047619047616
93.275,-48.599999999999994,0.0
95.53299999999999,-48.599999999999994,0.16666666666666666
97.791,-48.599999999999994,0.2
100.04899999999999,-48.599999999999994,0.3333333333333333
102.30699999999999,-48.599999999999994,0.0
104.565,-48.599999999999994,
106.823,-48.599999999999994,
109.08099999999999,-48.599999999999994,
111.339,-48.599999999999994,
113.597,-48.599999999999994,
115.85499999999999,-48.599999999999994,
118.113,-48.599999999999994,
120.371,-48.599999999999994,
9.729,-45.0,
11.987,-45.0,
14.245,-45.0,1.0
16.503,-45.0,
18.761,-45.0,
21.019,-45.0,1.0
23.277,-45.0,0.5
25.535,-45.0,0.0
27.793,-45.0,0.8
30.051,-45.0,0.5
32.309,-45.0,0.375
34.567,-45.0,0.375
36.825,-45.0,0.42857142857142855
39.083,-45.0,0.5714285714285714
41.341,-45.0,0.36363636363636365
43.599000000000004,-45.0,0.3
45.857,-45.0,0.07142857142857142
48.115,-45.0,0.42857142857142855
50.373000000000005,-45.0,0.15384615384615385
52.631,-45.0,0.125
54.888999999999996,-45.0,0.16666666666666666
57.147000000000006,-45.0,0.10256410256410256
59.405,-45.0,0.2608695652173913
61.663,-45.0,0.07407407407407407
63.921,-45.0,0.21052631578947367
66.179,-45.0,0.1643835616438356
68.437,-45.0,0.2361111111111111
70.695,-45.0,0.2413793103448276
72.953,-45.0,0.1951219512195122
